DE-IONIZED WATER
Date, Shift, Tech No., Date/Time Encoded, DI water (gallons), DI Flow (gpm), Resistivity - Bdg 1 (M ohm), Resistivity - Bdg 2 (M ohm), TIME, Remarks
16-Aug-2023,"DAY 1",10786,"16-Aug-2023 07:17:02",3401821,0,16.6,19.3,6:45am,N/A
16-Aug-2023,"SWG 1",10303,"16-Aug-2023 02:36:59",3405721,0,16.5,13.0,"2:30 PM",N/A
16-Aug-2023,"GRAVE 1",10715,"16-Aug-2023 11:41:53",3408235,0,16.6,12.8,"10:55 PM",N/A
17-Aug-2023,"DAY 1",10373,"17-Aug-2023 07:14:42",3413579,0,16.6,3.63,6:41am,N/A
17-Aug-2023,"SWG 1",10361,"17-Aug-2023 03:28:41",3417851,0,16.6,17.4,2:39pm,N/A
17-Aug-2023,"GRAVE 1",10715,"17-Aug-2023 11:54:32",3420165,0,16.7,12.6,10:36pm,N/A
18-Aug-2023,"DAY 1",10355,"18-Aug-2023 08:13:02",3425696,0,16.7,19.6,6:41am,N/A
18-Aug-2023,"SWG 1",10373,"18-Aug-2023 03:06:47",3425696,0,16.7,18.2,2:39pm,N/A
18-Aug-2023,"GRAVE 1",10786,"18-Aug-2023 11:05:01",3434391,0,16.6,16.6,10:35pm,N/A
19-Aug-2023,"DAY 1",10002,"19-Aug-2023 11:01:56",3439433,0,16.7,18.2,6:41am,N/A
19-Aug-2023,"SWG 1",10373,"19-Aug-2023 02:50:04",3444221,0,16.6,15.2,2:39pm,N/A
19-Aug-2023,"GRAVE 1",10786,"19-Aug-2023 10:44:44",3449878,0,16.6,18.0,10:35pm,N/A
20-Aug-2023,"DAY 1",10854,"20-Aug-2023 07:38:50",3454219,0,0,7.92,6:20AM,N/A
20-Aug-2023,"SWG 1",10373,"20-Aug-2023 04:38:10",3458272,0,16.6,15.2,"2:35 PM",N/A
20-Aug-2023,"GRAVE 1",10786,"20-Aug-2023 11:14:37",3463829,0,16.7,16.9,10:35pm,N/A
21-Aug-2023,"DAY 1",10854,"21-Aug-2023 08:10:15",3469383,0,16.7,16.5,6:40AM,N/A
21-Aug-2023,"SWG 1",10373,"21-Aug-2023 03:09:50",3472872,0,16.6,16.7,"2:45 PM",N/A
21-Aug-2023,"GRAVE 1",10786,"21-Aug-2023 10:58:03",3477265,0,16.5,17.3,10:20pm,N/A
22-Aug-2023,"DAY 1",10854,"22-Aug-2023 07:48:46",3482650,0,16.4,14.5,6:30AM,N/A
22-Aug-2023,"SWG 1",10373,"22-Aug-2023 04:17:28",3487831,0,16.8,17.2,"2:30 PM",N/A
22-Aug-2023,"GRAVE 1",10786,"22-Aug-2023 11:04:53",3491282,0,16.4,17.7,10:35pm,N/A
23-Aug-2023,"DAY 1",10355,"23-Aug-2023 07:09:27",3496465,0,16.4,13.0,6:35am,N/A
23-Aug-2023,"SWG 1",10373,"23-Aug-2023 02:32:12",3501201,0,16.5,22.5,2:39pm,N/A
23-Aug-2023,"GRAVE 1",10786,"23-Aug-2023 10:58:31",3504816,0,16.5,16.1,10:30pm,N/A
24-Aug-2023,"DAY 1",10361,"24-Aug-2023 07:16:01",3509632,0,16.6,17.1,6:41am,N/A
24-Aug-2023,"SWG 1",10373,"24-Aug-2023 02:25:40",3513928,0,16.6,10.9,2:40pm,N/A
24-Aug-2023,"GRAVE 1",10786,"24-Aug-2023 11:13:12",3518231,0,16.5,16.5,10:16pm,N/A
25-Aug-2023,"DAY 1",10854,"25-Aug-2023 07:42:44",3523329,0,16.4,19.5,"6:15 AM",N/A
25-Aug-2023,"SWG 1",10373,"25-Aug-2023 02:54:40",3527692,0,16.4,17.3,2:39pm,N/A
25-Aug-2023,"GRAVE 1",10786,"25-Aug-2023 10:47:26",3532468,0,16.5,17.9,10:16pm,N/A
26-Aug-2023,"DAY 1",10373,"26-Aug-2023 06:58:36",3537748,0,16.3,19.2,"6:40 AM",N/A
26-Aug-2023,"SWG 1",10373,"26-Aug-2023 05:46:52",3542833,0,16.2,3.60,2:30pm,N/A
26-Aug-2023,"GRAVE 1",10786,"26-Aug-2023 10:51:13",3545289,0,16.4,15.5,10:30pm,N/A
27-Aug-2023,"DAY 1",10854,"27-Aug-2023 07:41:26",3549981,0,16.6,16.8,6:30AM,N/A
27-Aug-2023,"SWG 1",10355,"27-Aug-2023 04:08:55",3554157,0,16.5,2.84,2:20pm,N/A
27-Aug-2023,"GRAVE 1",10373,"27-Aug-2023 10:36:38",3558493,0,16.4,7.62,10:35pm,N/A
28-Aug-2023,"DAY 1",10854,"28-Aug-2023 07:53:41",3564213,0,16.5,19.0,6:20AM,N/A
28-Aug-2023,"SWG 1",10854,"28-Aug-2023 04:03:10",3568991,0,16.5,18.1,2:42PM,N/A
28-Aug-2023,"GRAVE 1",10303,"28-Aug-2023 11:18:00",3572263,0,16.3,16.1,10:35pm,N/A
29-Aug-2023,"DAY 1",10854,"29-Aug-2023 07:28:48",3577036,0,16.4,13.0,6:15AM,N/A
29-Aug-2023,"SWG 1",10373,"29-Aug-2023 02:51:20",3580647,0,16.3,18.3,"2:30 PM",N/A
29-Aug-2023,"GRAVE 1",10303,"29-Aug-2023 11:06:15",3584347,0,16.4,5.24,10:35pm,N/A
30-Aug-2023,"DAY 1",10854,"30-Aug-2023 07:09:57",3588786,0,16.5,5.35,6:15AM,N/A
30-Aug-2023,"SWG 1",10373,"30-Aug-2023 03:13:37",3592802,0,16.4,4.90,"2:30 PM",N/A
30-Aug-2023,"GRAVE 1",10303,"30-Aug-2023 11:09:45",3592802,0,16.4,18,10:45pm,N/A
31-Aug-2023,"DAY 1",10854,"31-Aug-2023 07:40:25",3600915,0,16.3,15.9,6:20AM,N/A
31-Aug-2023,"SWG 1",10373,"31-Aug-2023 03:22:24",3605508,0,16.3,14.1,"2:35 PM",N/A
31-Aug-2023,"GRAVE 1",10303,"31-Aug-2023 11:17:28",3605965,0,16.4,18.7,10:45pm,N/A

DEEP WELL NO. 01
Date, Shift, Tech No., Date/Time Encoded, Voltage (V), Current (A), Hour Meter (hrs), Water Draw (cu.m), TIME, Remarks
1-Aug-2023,"DAY 1",5249,"1-Aug-2023 07:24:48",475,5,59673,152983,6:30AM,N/A
1-Aug-2023,"SWG 1",10355,"1-Aug-2023 03:04:49",475,5,59681,153047,2:45pm,N/A
1-Aug-2023,"GRAVE 1",10373,"1-Aug-2023 11:56:12",475,5,59689,153118,10:38pm,N/A
2-Aug-2023,"DAY 1",10303,"2-Aug-2023 07:04:24",475,5,59697,153176,6:42am,N/A
2-Aug-2023,"SWG 1",10373,"2-Aug-2023 03:27:14",480,5,59705,153244,2:45pm,N/A
2-Aug-2023,"GRAVE 1",10715,"2-Aug-2023 11:27:47",475,5,59713,153310,"10:50 PM",N/A
3-Aug-2023,"DAY 1",10303,"3-Aug-2023 07:22:36",475,5,59721,153374,6:20AM,N/A
3-Aug-2023,"SWG 1",10355,"3-Aug-2023 05:19:16",475,5,59729,153439,2:45pm,N/A
3-Aug-2023,"GRAVE 1",10373,"3-Aug-2023 11:01:47",475,5,59737,153506,"10:45 PM",N/A
4-Aug-2023,"DAY 1",10854,"4-Aug-2023 08:00:53",475,5,59745,153569,6:15AM,N/A
4-Aug-2023,"SWG 1",10355,"4-Aug-2023 04:30:52",475,5,59754,153646,2:45pm,N/A
4-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 01:27:45",475,5,59761,153704,10:46pm,N/A
5-Aug-2023,"DAY 1",10373,"5-Aug-2023 07:14:28",475,5,59769,153770,6:50am,N/A
5-Aug-2023,"SWG 1",10373,"5-Aug-2023 03:05:49",475,5,59777,153834,"6:40 pm",N/A
5-Aug-2023,"GRAVE 1",10715,"6-Aug-2023 12:13:18",475,5,59786,153987,10:46pm,N/A
6-Aug-2023,"DAY 1",7611,"6-Aug-2023 02:13:14",475,5,59796,154001,"6:35 AM",N/A
6-Aug-2023,"SWG 1",7611,"6-Aug-2023 03:14:04",475,0,59798,154002,"2:45 PM",N/A
6-Aug-2023,"GRAVE 1",10303,"7-Aug-2023 01:48:43",475,5,59809,154096,10:40pm,N/A
7-Aug-2023,"DAY 1",10786,"7-Aug-2023 08:45:57",480,11,59814,154126,6:42am,N/A
7-Aug-2023,"SWG 1",10373,"7-Aug-2023 03:29:05",480,11,59821,154184,2:45pm,N/A
7-Aug-2023,"GRAVE 1",10715,"8-Aug-2023 01:32:45",475,10,59830,154262,"10:45 PM",N/A
8-Aug-2023,"DAY 1",10786,"8-Aug-2023 07:43:19",475,11,59836,154311,6:35am,N/A
8-Aug-2023,"SWG 1",10373,"8-Aug-2023 03:05:55",475,11,59844,154373,2:45pm,N/A
8-Aug-2023,"GRAVE 1",10715,"8-Aug-2023 11:58:10",475,12,59853,154446,"10:45 PM",N/A
9-Aug-2023,"DAY 1",10786,"9-Aug-2023 07:25:15",480,11,59860,154505,6:35am,N/A
9-Aug-2023,"SWG 1",10373,"9-Aug-2023 02:50:58",475,11,59868,154569,2:45pm,N/A
9-Aug-2023,"GRAVE 1",10715,"9-Aug-2023 11:45:15",475,12,59876,154569,10:38pm,N/A
10-Aug-2023,"DAY 1",10786,"10-Aug-2023 07:39:32",475,11,59884,154701,6:35am,N/A
10-Aug-2023,"SWG 1",10373,"10-Aug-2023 02:55:03",475,11,59892,154765,2:45pm,N/A
10-Aug-2023,"GRAVE 1",10355,"11-Aug-2023 01:46:21",480,11,59901,154835,10:20pm,N/A
11-Aug-2023,"DAY 1",10786,"11-Aug-2023 07:19:14",480,11,59908,154895,6:35am,N/A
11-Aug-2023,"SWG 1",10303,"11-Aug-2023 04:20:22",480,11,59917,154970,2:45pm,N/A
11-Aug-2023,"GRAVE 1",10715,"12-Aug-2023 03:17:05",475,11,59925,155056,10:10pm,N/A
12-Aug-2023,"DAY 1",10355,"12-Aug-2023 07:18:29",475,11,59933,155093,6:33am,N/A
12-Aug-2023,"SWG 1",10355,"12-Aug-2023 04:41:38",475,11,59940,155156,2:10pm,N/A
12-Aug-2023,"GRAVE 1",10715,"13-Aug-2023 12:41:58",475,11,59948,155220,10:40pm,N/A
13-Aug-2023,"DAY 1",10786,"13-Aug-2023 07:40:37",475,11,59956,155286,"6:45 AM",N/A
13-Aug-2023,"SWG 1",7611,"13-Aug-2023 02:56:34",475,12,59964,155353,"2:45 PM",N/A
13-Aug-2023,"GRAVE 1",10715,"14-Aug-2023 01:40:07",475,12,59972,155408,"10:50 PM",N/A
14-Aug-2023,"DAY 1",10786,"14-Aug-2023 07:57:33",480,11,59976,155445,6:35am,N/A
14-Aug-2023,"SWG 1",10373,"14-Aug-2023 02:39:51",475,11,59983,155500,2:20pm,N/A
14-Aug-2023,"GRAVE 1",10715,"15-Aug-2023 03:11:36",475,11,59994,155591,10:40pm,N/A
15-Aug-2023,"DAY 1",10786,"15-Aug-2023 07:34:23",480,11,60000,155626,6:35am,N/A
15-Aug-2023,"SWG 1",10373,"15-Aug-2023 02:39:01",480,11,60007,155684,2:45pm,N/A
15-Aug-2023,"GRAVE 1",10715,"16-Aug-2023 02:55:00",475,11,60018,155777,10:33pm,N/A
16-Aug-2023,"DAY 1",10786,"16-Aug-2023 07:18:13",480,11,60024,155807,6:50am,N/A
16-Aug-2023,"SWG 1",10303,"16-Aug-2023 02:37:51",480,11,60031,155864,2:45pm,N/A
16-Aug-2023,"GRAVE 1",10715,"17-Aug-2023 02:55:29",475,11,60042,155958,10:23pm,N/A
17-Aug-2023,"DAY 1",10303,"17-Aug-2023 10:50:26",480,3,60048,155992,6:42am,N/A
17-Aug-2023,"SWG 1",10361,"17-Aug-2023 03:29:56",475,0,60056,156055,2:45pm,N/A
17-Aug-2023,"GRAVE 1",10715,"17-Aug-2023 11:52:28",475,0,60064,156118,"10:45 PM",N/A
18-Aug-2023,"DAY 1",10355,"18-Aug-2023 08:14:06",480,0,60070,156171,6:42am,N/A
18-Aug-2023,"SWG 1",10355,"22-Aug-2023 10:45:57",480,11,60078,156171,2:45pm,N/A
18-Aug-2023,"GRAVE 1",10786,"18-Aug-2023 11:07:25",480,0,60087,156294,10:35pm,N/A
19-Aug-2023,"DAY 1",10002,"19-Aug-2023 11:03:02",475,11,60097,156369,6:42am,N/A
19-Aug-2023,"SWG 1",10373,"19-Aug-2023 02:51:03",475,11,60102,156425,2:45pm,N/A
19-Aug-2023,"GRAVE 1",10786,"19-Aug-2023 10:45:54",475,0,60111,156479,10:35pm,N/A
20-Aug-2023,"DAY 1",10854,"20-Aug-2023 07:40:56",480,0,60120,156545,6:20AM,N/A
20-Aug-2023,"SWG 1",10373,"20-Aug-2023 04:38:45",475,3,60128,156606,2:45pm,N/A
20-Aug-2023,"GRAVE 1",10786,"20-Aug-2023 11:15:55",0,0,60128,156606,10:35pm,Standby
21-Aug-2023,"DAY 1",10355,"22-Aug-2023 10:50:26",0,0,60128,156606,6:42am,Standby/Operational
21-Aug-2023,"SWG 1",10373,"21-Aug-2023 03:10:40",0,0,60128,156606,"2:45 PM",Standby/Operational
21-Aug-2023,"GRAVE 1",10786,"21-Aug-2023 10:58:46",0,0,60128,156606,10:35pm,Standby/Operational
22-Aug-2023,"DAY 1",10355,"22-Aug-2023 10:48:31",0,0,60128,156606,6:42am,Standby/Operational
22-Aug-2023,"SWG 1",10373,"22-Aug-2023 04:18:02",0,0,60128,156606,"2:30 PM","Standby/ Operational"
22-Aug-2023,"GRAVE 1",10786,"22-Aug-2023 11:05:35",0,0,60128,156606,10:30pm,Standby/Operational
23-Aug-2023,"DAY 1",10355,"23-Aug-2023 07:10:03",0,0,60128,156606,6:35am,Standby
23-Aug-2023,"SWG 1",10373,"23-Aug-2023 02:33:11",0,0,60128,156606,2:45pm,standby
23-Aug-2023,"GRAVE 1",10786,"23-Aug-2023 10:59:04",0,0,60128,156606,10:35pm,Standby
24-Aug-2023,"DAY 1",10361,"24-Aug-2023 07:16:29",0,0,60128,156606,6:42am,standby
24-Aug-2023,"SWG 1",10373,"24-Aug-2023 02:26:01",0,0,60128,156606,2:45pm,Standby
24-Aug-2023,"GRAVE 1",10786,"24-Aug-2023 11:14:10",0,0,60128,156606,10:18pm,Standby
25-Aug-2023,"DAY 1",10854,"25-Aug-2023 07:43:37",0,0,60128,156606,"6:15 AM",Standby
25-Aug-2023,"SWG 1",10373,"25-Aug-2023 02:54:54",0,0,60128,156606,2:45pm,Standby/Operation
25-Aug-2023,"GRAVE 1",10786,"25-Aug-2023 10:48:00",0,0,60128,156606,10:18pm,Standby
26-Aug-2023,"DAY 1",10854,"29-Aug-2023 07:29:20",0,0,60128,156606,6:15AM,Standby/Operational
26-Aug-2023,"SWG 1",10373,"26-Aug-2023 05:50:11",0,0,60128,156606,2:45pm,Standby
26-Aug-2023,"GRAVE 1",10786,"26-Aug-2023 10:52:14",0,0,60128,156606,10:40pm,Standby
27-Aug-2023,"DAY 1",10854,"27-Aug-2023 07:51:21",0,0,60128,156606,6:30AM,Standby
27-Aug-2023,"SWG 1",10355,"27-Aug-2023 04:09:16",0,0,60128,156606,2:20pm,Standby
27-Aug-2023,"GRAVE 1",10373,"27-Aug-2023 10:37:38",0,0,60128,156606,10:35pm,Standby
28-Aug-2023,"DAY 1",10854,"28-Aug-2023 07:54:07",0,0,60128,156606,6:20AM,Standby
28-Aug-2023,"SWG 1",10854,"28-Aug-2023 04:03:36",0,0,60128,156606,2:42PM,Standby/Operational
28-Aug-2023,"GRAVE 1",10303,"28-Aug-2023 11:18:24",0,0,60128,156606,10:35pm,Standby/Operational
29-Aug-2023,"DAY 1",10854,"29-Aug-2023 09:10:16",0,0,60128,156606,6:40AM,Standby/Operational
29-Aug-2023,"SWG 1",10373,"29-Aug-2023 02:53:50",0,0,60128,156606,2:45pm,Standby/Operational
29-Aug-2023,"GRAVE 1",10303,"29-Aug-2023 11:06:26",0,0,60128,156606,10:40pm,Standby/Operational
30-Aug-2023,"DAY 1",10854,"30-Aug-2023 07:10:26",0,0,60128,156606,6:15AM,Standby/Operational
30-Aug-2023,"SWG 1",10373,"30-Aug-2023 03:19:24",0,0,60128,156606,2:45pm,Standby/Operational
30-Aug-2023,"GRAVE 1",10303,"30-Aug-2023 11:10:06",0,0,60128,156606,10:45pm,Standby/Operational
31-Aug-2023,"DAY 1",10854,"31-Aug-2023 07:40:42",0,0,60128,156606,6:20AM,Standby/Operational
31-Aug-2023,"SWG 1",10373,"31-Aug-2023 03:22:50",0,0,60128,156606,"2:30 PM",Standby///Operational
31-Aug-2023,"GRAVE 1",10373,"1-Sep-2023 02:26:35",0,0,60128,156606,10:35pm,Standby/Operational

DEEP WELL NO. 02
Date, Shift, Tech No., Date/Time Encoded, Voltage (V), Current (A), Hour Meter (hrs), Water Draw (cu.m), TIME, Remarks
1-Aug-2023,"DAY 1",5249,"1-Aug-2023 07:25:15",0,0,39016,030876,6:30AM,Standby
1-Aug-2023,"SWG 1",10355,"1-Aug-2023 03:05:07",0,0,39016,030876,2:45pm,Standby
1-Aug-2023,"GRAVE 1",10373,"1-Aug-2023 11:56:26",0,0,39016,030876,10:38pm,Standby
2-Aug-2023,"DAY 1",10303,"2-Aug-2023 07:04:41",0,0,39016,030876,6:44am,"Standby/ Operational"
2-Aug-2023,"SWG 1",10373,"2-Aug-2023 02:48:18",0,0,39016,030876,"2:35 PM","Standby/ Operational"
2-Aug-2023,"GRAVE 1",10715,"2-Aug-2023 11:27:05",0,0,39016,030876,10:38pm,Standby/Operational
3-Aug-2023,"DAY 1",10303,"3-Aug-2023 07:23:01",0,0,39016,030876,6:20AM,Standby/Operational
3-Aug-2023,"SWG 1",10355,"3-Aug-2023 05:19:41",0,0,39016,030876,2:50pm,Standby/Operational
3-Aug-2023,"GRAVE 1",10373,"3-Aug-2023 11:02:17",0,0,39016,030876,10:46pm,Standby/Operational
4-Aug-2023,"DAY 1",10854,"4-Aug-2023 08:01:18",0,0,39016,030876,6:15AM,Standby/Operational
4-Aug-2023,"SWG 1",10355,"4-Aug-2023 04:31:41",0,0,39016,030876,2:50pm,Standby/Operational
4-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 12:56:01",0,0,39016,030876,10:38pm,Standby/Operational
5-Aug-2023,"DAY 1",10373,"5-Aug-2023 07:15:13",0,0,39016,030876,6:50am,Standby/Operational
5-Aug-2023,"SWG 1",10373,"5-Aug-2023 03:07:21",0,0,39016,030876,2:50pm,Standby/Operational
5-Aug-2023,"GRAVE 1",10303,"7-Aug-2023 01:49:52",0,0,39016,030876,10:50pm,Standby/Operational
6-Aug-2023,"DAY 1",7611,"6-Aug-2023 02:13:31",0,0,39016,030876,"6:30 AM",Standby
6-Aug-2023,"SWG 1",7611,"6-Aug-2023 03:14:23",0,0,39016,030876,"2:40 PM",Standby
6-Aug-2023,"GRAVE 1",10715,"6-Aug-2023 12:14:29",0,0,39016,030876,10:46pm,Standby/Operational
7-Aug-2023,"DAY 1",10303,"7-Aug-2023 01:52:23",0,0,39016,030876,6:44am,Standby/Operational
7-Aug-2023,"SWG 1",10373,"7-Aug-2023 03:29:32",0,0,39016,030876,2:45pm,Standby/Operational
7-Aug-2023,"GRAVE 1",10715,"7-Aug-2023 11:49:36",0,0,39016,030876,10:30pm,Standby/Operational
8-Aug-2023,"DAY 1",10786,"8-Aug-2023 07:44:46",0,0,39016,030876,6:35am,standby
8-Aug-2023,"SWG 1",10373,"8-Aug-2023 03:06:26",0,0,39016,030876,2:50pm,Standby/Operational
8-Aug-2023,"GRAVE 1",10715,"8-Aug-2023 11:47:27",0,0,39016,030876,10:38pm,Standby/Operational
9-Aug-2023,"DAY 1",10786,"9-Aug-2023 07:25:52",0,0,39016,030876,6:35am,Standby/Operational
9-Aug-2023,"SWG 1",10373,"9-Aug-2023 02:51:34",0,0,39016,030876,2:45pm,Standby/Operational
9-Aug-2023,"GRAVE 1",10715,"9-Aug-2023 11:42:53",0,0,39016,030876,10:38pm,Standby/Operational
10-Aug-2023,"DAY 1",10786,"10-Aug-2023 07:39:55",0,0,39016,030876,6:35am,Standby/Operational
10-Aug-2023,"SWG 1",10373,"10-Aug-2023 02:55:41",0,0,39016,030876,2:45pm,Standby/Operational
10-Aug-2023,"GRAVE 1",10355,"11-Aug-2023 01:46:50",0,0,39016,030876,10:20pm,Standby/Operational
11-Aug-2023,"DAY 1",10786,"11-Aug-2023 07:17:55",0,0,39016,030876,6:35am,Off
11-Aug-2023,"SWG 1",10303,"11-Aug-2023 04:20:43",0,0,39016,030876,2:50pm,off
11-Aug-2023,"GRAVE 1",10715,"12-Aug-2023 01:09:42",0,0,39016,030876,10:35pm,Standby/Operational
12-Aug-2023,"DAY 1",10355,"12-Aug-2023 07:18:47",475,0,39016,030876,6:33am,N/A
12-Aug-2023,"SWG 1",10355,"12-Aug-2023 04:41:48",0,0,39016,030876,2:10pm,Standby
12-Aug-2023,"GRAVE 1",10715,"13-Aug-2023 12:41:33",0,0,39016,030876,10:45pm,Standby/Operational
13-Aug-2023,"DAY 1",10786,"13-Aug-2023 07:40:58",0,0,39016,030876,"6:40 AM",Standby
13-Aug-2023,"SWG 1",7611,"13-Aug-2023 02:56:59",0,0,39016,030876,"2:35 PM",Standby
13-Aug-2023,"GRAVE 1",10715,"14-Aug-2023 01:39:48",0,0,39016,030876,10:38pm,"Plant Shutdown"
14-Aug-2023,"DAY 1",10303,"14-Aug-2023 01:40:24",0,0,39016,030876,6:44am,Standby/Operational
14-Aug-2023,"SWG 1",10373,"14-Aug-2023 02:40:12",0,0,39016,030876,"2:25 PM",Standby/Operational
14-Aug-2023,"GRAVE 1",10715,"14-Aug-2023 11:45:40",0,0,39016,030876,"10:45 PM",Standby/Operational
15-Aug-2023,"DAY 1",10786,"15-Aug-2023 07:34:43",0,0,39016,030876,6:35am,standby
15-Aug-2023,"SWG 1",10373,"15-Aug-2023 02:39:43",0,0,39016,030876,"2:25 PM",Standby/Operational
15-Aug-2023,"GRAVE 1",10715,"15-Aug-2023 11:48:50",0,0,39016,030876,"10:45 PM",Standby/Operational
16-Aug-2023,"DAY 1",10786,"16-Aug-2023 07:18:31",0,0,39016,030876,6:50am,Standby
16-Aug-2023,"SWG 1",10303,"16-Aug-2023 02:38:33",0,0,39016,030876,"2:25 PM",standby
