H2 Gas
Date, Shift, Tech No., Date/Time Encoded,Temperature (Requirement : below 50 °C), Pressure (Ordering Level = 3.75 MPa or 500 psi Critical Level = 1.5 MPa or 200 psi), Primary Pressure gauge BH2 (Requirement 95 to 100 psi), Primary Pressure gauge Pallet (Requirement 95 to 100 psi), Secondary Pressure gauge BH2 (Requirement 60 to 65 psi), Secondary Pressure gauge Pallet (Requirement 60 to 65 psi), Nitrogen (Pressure Setting : 50 psi), Nitrogen cylinder pressure reading (Requirement : Alarm Level = 500 psi Critical Level = 200 psi), TIME, Remarks
4-Aug-2023,"SWG 2",10715,"4-Aug-2023 07:18:09",30,15.10,140,0,65,0,0,0,6:16pm,N/A
4-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 12:50:25",26,15,140,0,65,0,0,0,10:16pm,N/A
5-Aug-2023,"GRAVE 2",10715,"5-Aug-2023 04:22:17",26,15,150,0,65,0,0,0,2:15am,N/A
5-Aug-2023,"DAY 1",7611,"5-Aug-2023 11:05:46",26,14.80,145,0,65,0,0,0,"6:15 AM",N/A
5-Aug-2023,"DAY 2",7611,"5-Aug-2023 11:05:08",31,14.50,145,0,65,0,0,0,"10:45 AM",N/A
5-Aug-2023,"SWG 1",10373,"5-Aug-2023 03:11:03",31,14.50,145,0,65,0,0,0,2:20pm,N/A
5-Aug-2023,"SWG 2",10715,"5-Aug-2023 06:48:58",30,14.50,145,0,65,0,0,0,"6:20 PM",N/A
5-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 11:10:54",28,14.20,150,0,65,0,0,0,10:16pm,N/A
6-Aug-2023,"GRAVE 2",10715,"6-Aug-2023 04:34:38",26,14.10,140,0,65,0,0,0,"2:15 AM",N/A
6-Aug-2023,"DAY 1",7611,"6-Aug-2023 02:14:57",26,14.10,140,0,65,0,0,0,"6:15 AM",N/A
6-Aug-2023,"DAY 2",7611,"6-Aug-2023 02:15:38",31,14.10,160,0,105,0,0,0,"10:45 AM","Plant Shutdown"
6-Aug-2023,"SWG 1",7611,"6-Aug-2023 03:15:40",31,14.10,160,0,105,0,0,0,"2:15 PM","Plant Shutdown"
6-Aug-2023,"SWG 2",10715,"7-Aug-2023 01:31:20",31,14.10,160,0,105,0,0,0,"6:20 PM","Plant Shutdown"
6-Aug-2023,"GRAVE 1",10715,"7-Aug-2023 01:32:09",30,14.10,160,0,105,0,0,0,10:16pm,"Plant Shutdown"
7-Aug-2023,"GRAVE 2",10715,"7-Aug-2023 04:04:19",30,14.10,150,0,105,0,0,0,2:15am,"Plant Shutdown"
7-Aug-2023,"DAY 1",10786,"7-Aug-2023 08:56:53",27,14.0,140,0,65,0,0,0,6:14am,N/A
7-Aug-2023,"DAY 2",7611,"7-Aug-2023 10:58:36",31,13.50,150,0,65,0,0,0,"10:45 AM",N/A
7-Aug-2023,"SWG 1",10373,"7-Aug-2023 03:24:15",31,13.40,150,0,65,0,0,0,2:15pm,N/A
7-Aug-2023,"SWG 2",10373,"7-Aug-2023 09:41:50",27,13.10,150,0,65,0,0,0,6:35pm,N/A
7-Aug-2023,"GRAVE 1",10715,"7-Aug-2023 11:32:43",28,13,150,0,65,0,0,0,10:16pm,N/A
8-Aug-2023,"GRAVE 2",10715,"8-Aug-2023 03:58:00",26,12.80,150,0,65,0,0,0,2:15am,N/A
8-Aug-2023,"DAY 1",10786,"8-Aug-2023 07:33:55",28,12.40,150,0,65,0,0,0,6:15am,N/A
8-Aug-2023,"DAY 2",7611,"8-Aug-2023 10:42:49",31,12.00,150,0,65,0,0,0,"10:40 AM",N/A
8-Aug-2023,"SWG 1",10373,"8-Aug-2023 03:09:09",31,11.40,150,0,65,0,0,0,2:20pm,N/A
8-Aug-2023,"GRAVE 1",10715,"8-Aug-2023 11:38:12",28,11.20,150,0,65,0,0,0,10:16pm,N/A
9-Aug-2023,"GRAVE 2",10715,"9-Aug-2023 03:55:23",28,11,150,0,65,0,0,0,"2:15 AM",N/A
9-Aug-2023,"DAY 1",10786,"9-Aug-2023 07:19:39",27,10.50,150,0,65,0,0,0,6:16am,N/A
9-Aug-2023,"DAY 2",7611,"9-Aug-2023 10:40:55",31,10.20,150,0,65,0,0,0,"10:40 AM",N/A
9-Aug-2023,"SWG 1",10373,"9-Aug-2023 02:58:38",31,10.10,155,0,65,0,0,0,2:15pm,N/A
9-Aug-2023,"SWG 2",10373,"9-Aug-2023 06:38:57",30,9.90,150,0,65,0,0,0,6:10pm,N/A
9-Aug-2023,"GRAVE 1",10715,"9-Aug-2023 11:13:16",28,9.20,150,0,65,0,0,0,10:16pm,N/A
10-Aug-2023,"GRAVE 2",10715,"10-Aug-2023 02:49:37",28,9,150,0,65,0,0,0,"2:15 AM",N/A
10-Aug-2023,"DAY 1",10786,"10-Aug-2023 07:29:53",28,9.00,150,0,65,0,0,0,"6:35 AM",N/A
10-Aug-2023,"DAY 2",10786,"10-Aug-2023 10:20:28",30,8.80,150,0,65,0,0,0,10:05am,N/A
10-Aug-2023,"SWG 1",10373,"10-Aug-2023 02:50:55",33,8.50,150,0,65,0,0,0,2:15pm,N/A
10-Aug-2023,"SWG 2",10373,"10-Aug-2023 06:20:55",30,8.10,150,0,65,0,0,0,6:10pm,N/A
10-Aug-2023,"GRAVE 1",10355,"11-Aug-2023 01:42:46",29,7.80,160,0,65,0,0,0,10:20pm,N/A
11-Aug-2023,"GRAVE 2",10355,"11-Aug-2023 05:12:26",28,7.20,150,0,65,0,0,0,2:10am,N/A
11-Aug-2023,"DAY 1",10786,"11-Aug-2023 07:12:45",27,7.00,150,0,65,0,0,0,6:10AM,N/A
11-Aug-2023,"DAY 2",10786,"11-Aug-2023 10:24:36",30,6.80,150,0,65,0,0,0,10:10am,N/A
11-Aug-2023,"SWG 1",10303,"11-Aug-2023 04:16:21",33,6.50,150,0,65,0,0,0,2:20pm,N/A
11-Aug-2023,"SWG 2",10303,"11-Aug-2023 06:29:41",30,6.20,150,0,65,0,0,0,6:18pm,N/A
11-Aug-2023,"GRAVE 1",10715,"11-Aug-2023 11:00:51",30,6,160,0,65,0,0,0,10:15pm,N/A
12-Aug-2023,"GRAVE 2",10715,"12-Aug-2023 03:18:03",30,19.10,130,0,65,0,0,0,2:02am,N/A
12-Aug-2023,"DAY 1",10355,"12-Aug-2023 07:11:34",29,19.0,150,0,65,0,0,0,6:29am,N/A
12-Aug-2023,"DAY 2",10355,"12-Aug-2023 04:39:07",31,18.9,130,0,65,0,0,0,10:10am,N/A
12-Aug-2023,"SWG 1",10355,"12-Aug-2023 04:39:21",32,18.9,130,0,65,0,0,0,2:10pm,N/A
12-Aug-2023,"SWG 2",10715,"12-Aug-2023 08:22:46",32,18.90,130,0,65,0,0,0,6:16pm,N/A
12-Aug-2023,"GRAVE 1",10715,"13-Aug-2023 12:13:42",30,18.20,130,0,65,0,0,0,10:15pm,N/A
13-Aug-2023,"GRAVE 2",10715,"13-Aug-2023 04:37:00",30,18,130,0,65,0,0,0,2:15am,N/A
13-Aug-2023,"DAY 1",10786,"13-Aug-2023 07:45:34",30,17.80,145,0,65,0,0,0,"6:25 AM",N/A
13-Aug-2023,"DAY 2",7611,"13-Aug-2023 03:17:43",35,17.80,150,0,65,0,0,0,"2:15 PM",N/A
13-Aug-2023,"SWG 1",7611,"13-Aug-2023 02:53:44",35,17.80,150,0,90,0,0,0,"2:35 PM","Plant Shutdown"
13-Aug-2023,"SWG 2",10715,"13-Aug-2023 06:59:43",32,17.80,150,0,90,0,0,0,6:23pm,N/A
13-Aug-2023,"GRAVE 1",10715,"14-Aug-2023 01:28:07",32,17.80,150,0,90,0,0,0,10:16pm,"Plant Shutdown"
14-Aug-2023,"GRAVE 2",10715,"14-Aug-2023 03:19:15",32,17.80,150,0,90,0,0,0,2:20am,N/A
14-Aug-2023,"DAY 1",10786,"14-Aug-2023 07:47:02",28,17.40,150,0,65,0,0,0,"6:35 AM",N/A
14-Aug-2023,"DAY 2",10786,"14-Aug-2023 11:02:53",17.20,30,150,0,65,0,0,0,"10:50 AM",N/A
14-Aug-2023,"SWG 1",10373,"14-Aug-2023 02:35:47",33,17.10,150,0,65,0,0,0,2:20pm,N/A
14-Aug-2023,"SWG 2",10373,"14-Aug-2023 07:16:09",32,17.0,150,0,65,0,0,0,6:10pm,N/A
14-Aug-2023,"GRAVE 1",10715,"14-Aug-2023 11:04:21",28,16.90,135,0,65,0,0,0,10:15pm,N/A
15-Aug-2023,"GRAVE 2",10715,"15-Aug-2023 03:26:53",28,16.50,140,0,65,0,0,0,2:02am,N/A
15-Aug-2023,"DAY 1",10786,"15-Aug-2023 07:28:41",28,16.40,140,0,65,0,0,0,6:20am,N/A
15-Aug-2023,"DAY 2",10786,"15-Aug-2023 12:03:42",33,16.20,140,0,65,0,0,0,10:40am,N/A
15-Aug-2023,"SWG 1",10373,"15-Aug-2023 02:34:14",34,16.10,140,0,65,0,0,0,2:20pm,N/A
15-Aug-2023,"SWG 2",10373,"15-Aug-2023 08:09:44",32,16,140,0,65,0,0,0,6:23pm,N/A
15-Aug-2023,"GRAVE 1",10715,"15-Aug-2023 10:59:38",30,16,140,0,65,0,0,0,10:15pm,N/A
16-Aug-2023,"GRAVE 2",10715,"16-Aug-2023 02:49:17",30,15.80,140,0,65,0,0,0,2:02am,N/A
16-Aug-2023,"DAY 1",10786,"16-Aug-2023 07:12:43",30,15.40,140,0,65,0,0,0,6:50am,N/A
16-Aug-2023,"DAY 2",10303,"16-Aug-2023 02:29:57",32,15.20,140,0,65,0,0,0,"10:20 PM",N/A
16-Aug-2023,"SWG 1",10303,"16-Aug-2023 02:31:28",34,15,140,0,65,0,0,0,2:20pm,N/A
16-Aug-2023,"SWG 2",10715,"16-Aug-2023 06:59:52",32,15,140,0,65,0,0,0,6:10pm,N/A
16-Aug-2023,"GRAVE 1",10715,"16-Aug-2023 11:21:52",30,14.80,140,0,65,0,0,0,10:16pm,N/A
17-Aug-2023,"GRAVE 2",10715,"17-Aug-2023 02:53:40",30,14.20,140,0,65,0,0,0,"2:15 AM",N/A
17-Aug-2023,"DAY 1",10373,"17-Aug-2023 07:19:50",28,14,140,0,65,0,0,0,6:14am,N/A
17-Aug-2023,"DAY 2",10303,"17-Aug-2023 10:53:37",30,13.90,140,0,65,0,0,0,"10:45 AM",N/A
17-Aug-2023,"SWG 1",10361,"17-Aug-2023 03:03:28",32,13.90,140,0,65,0,0,0,2:20pm,N/A
17-Aug-2023,"SWG 2",10715,"17-Aug-2023 06:56:44",30,13.50,150,0,65,0,0,0,"6:20 PM",N/A
17-Aug-2023,"GRAVE 1",10715,"17-Aug-2023 11:40:39",30,13,150,0,65,0,0,0,10:16pm,N/A
18-Aug-2023,"GRAVE 2",10715,"18-Aug-2023 03:37:43",30,12.90,150,0,65,0,0,0,"2:15 AM",N/A
18-Aug-2023,"DAY 1",10355,"18-Aug-2023 07:56:49",28,12.5,150,0,65,0,0,0,6:14am,N/A
18-Aug-2023,"DAY 2",10373,"18-Aug-2023 10:33:51",32,12.4,150,0,65,0,0,0,"10:45 AM",N/A
18-Aug-2023,"SWG 1",10373,"18-Aug-2023 02:29:32",36,12.4,150,0,65,0,0,0,2:20pm,N/A
18-Aug-2023,"SWG 2",7611,"18-Aug-2023 06:45:36",30,12.10,160,0,65,0,0,0,"6:20 PM",N/A
18-Aug-2023,"GRAVE 1",10786,"18-Aug-2023 10:59:10",30,12.0,150,0,65,0,0,0,10:16pm,N/A
19-Aug-2023,"GRAVE 2",10786,"19-Aug-2023 02:37:38",28,11.50,150,0,65,0,0,0,2:40am,N/A
19-Aug-2023,"DAY 1",10002,"19-Aug-2023 10:56:01",29,11.5,150,0,65,0,0,0,6:14am,N/A
19-Aug-2023,"SWG 1",10373,"19-Aug-2023 02:55:57",32,11.20,150,0,65,0,0,0,2:20pm,N/A
19-Aug-2023,"SWG 2",10786,"19-Aug-2023 06:33:04",31,11.00,150,0,65,0,0,0,"6:05 PM",N/A
19-Aug-2023,"GRAVE 1",10786,"19-Aug-2023 10:43:08",30,10.90,150,0,65,0,0,0,10:11pm,N/A
20-Aug-2023,"GRAVE 2",10786,"20-Aug-2023 02:00:54",30,10.70,150,0,65,0,0,0,2:05am,N/A
20-Aug-2023,"DAY 1",10854,"20-Aug-2023 07:03:56",29,10.20,150,0,65,0,0,0,6:20AM,N/A
20-Aug-2023,"DAY 2",10355,"20-Aug-2023 01:44:51",34,10.0,155,0,65,0,0,0,10:20am,N/A
20-Aug-2023,"SWG 1",10373,"20-Aug-2023 04:41:25",33,10,155,0,65,0,0,0,2:20pm,N/A
20-Aug-2023,"SWG 2",10373,"20-Aug-2023 06:51:31",31,9.80,150,0,65,0,0,0,6:24pm,N/A
20-Aug-2023,"GRAVE 1",10786,"20-Aug-2023 11:05:40",30,9.50,150,0,65,0,0,0,10:15pm,N/A
21-Aug-2023,"GRAVE 2",10786,"21-Aug-2023 02:07:25",30,9.20,150,0,65,0,0,0,2:05am,N/A
21-Aug-2023,"DAY 1",10854,"21-Aug-2023 07:43:39",28,8.90,150,0,65,0,0,0,6:40AM,N/A
21-Aug-2023,"DAY 2",10854,"21-Aug-2023 12:26:01",32,8.90,150,0,65,0,0,0,10:50AM,N/A
21-Aug-2023,"SWG 1",10373,"21-Aug-2023 03:14:01",24,8.90,150,0,65,0,0,0,2:15PM,N/A
21-Aug-2023,"SWG 2",10373,"21-Aug-2023 07:10:09",30,8.60,150,0,65,0,0,0,6:24pm,N/A
21-Aug-2023,"GRAVE 1",10786,"21-Aug-2023 10:53:42",30,8.40,150,0,65,0,0,0,10:15pm,N/A
22-Aug-2023,"GRAVE 2",10786,"22-Aug-2023 02:07:38",28,8.0,150,0,65,0,0,0,2:05am,N/A
22-Aug-2023,"DAY 1",10854,"22-Aug-2023 07:04:27",29,8,150,0,65,0,0,0,6:15AM,N/A
22-Aug-2023,"DAY 2",10355,"22-Aug-2023 10:35:12",30,8,150,0,65,0,0,0,"10:45 AM",N/A
22-Aug-2023,"SWG 1",10373,"22-Aug-2023 03:49:07",31,8,150,0,65,0,0,0,2:20pm,N/A
22-Aug-2023,"SWG 2",10373,"22-Aug-2023 06:51:47",30,7.90,150,0,65,0,0,0,6:06pm,N/A
22-Aug-2023,"GRAVE 1",10786,"22-Aug-2023 10:59:37",27,7.40,150,0,65,0,0,0,10:15pm,N/A
23-Aug-2023,"GRAVE 2",10786,"23-Aug-2023 02:01:55",27,7.20,150,0,65,0,0,0,2:15am,N/A
23-Aug-2023,"DAY 1",10355,"23-Aug-2023 06:42:46",26,7,150,0,65,0,0,0,6:20am,N/A
23-Aug-2023,"DAY 2",10373,"23-Aug-2023 12:35:59",32,6.90,150,0,65,0,0,0,10:25am,N/A
23-Aug-2023,"SWG 1",10373,"23-Aug-2023 02:28:31",34,6.80,150,0,65,0,0,0,2:20pm,N/A
23-Aug-2023,"SWG 2",10373,"23-Aug-2023 06:43:39",30,6.70,150,0,65,0,0,0,6:12pm,N/A
23-Aug-2023,"GRAVE 1",10786,"23-Aug-2023 10:54:49",30,6.50,160,0,65,0,0,0,10:15pm,N/A
24-Aug-2023,"GRAVE 2",10786,"24-Aug-2023 02:11:50",29,6.20,160,0,65,0,0,0,2:10am,N/A
24-Aug-2023,"DAY 1",10361,"24-Aug-2023 06:51:17",26,6,160,0,65,0,0,0,6:14am,N/A
24-Aug-2023,"DAY 2",10361,"24-Aug-2023 10:57:57",30,5.90,160,0,65,0,0,0,"10:35 AM",N/A
24-Aug-2023,"SWG 1",10373,"24-Aug-2023 02:22:04",33,5.80,160,0,65,0,0,0,2:15pm,N/A
24-Aug-2023,"SWG 2",10373,"24-Aug-2023 06:42:57",30,5.50,160,0,65,0,0,0,6:12pm,N/A
24-Aug-2023,"GRAVE 1",10786,"24-Aug-2023 11:05:58",29,5.40,160,0,65,0,0,0,10:15pm,N/A
25-Aug-2023,"GRAVE 2",10786,"25-Aug-2023 02:21:31",29,5.30,160,0,65,0,0,0,2:15am,N/A
25-Aug-2023,"DAY 1",10854,"25-Aug-2023 06:41:12",29,5.30,160,0,65,0,0,0,"6:15 AM",N/A
25-Aug-2023,"DAY 2",10373,"25-Aug-2023 02:50:25",32,5.20,140,0,65,0,0,0,"10:45 AM",N/A
25-Aug-2023,"SWG 1",10373,"25-Aug-2023 02:27:44",32,19.50,120,0,65,0,0,0,2:20pm,N/A
25-Aug-2023,"SWG 2",10373,"25-Aug-2023 07:10:31",30,19.20,130,0,65,0,0,0,"6:15 PM",N/A
25-Aug-2023,"GRAVE 1",10786,"25-Aug-2023 10:46:13",28,19.20,120,0,65,0,0,0,10:10pm,N/A
26-Aug-2023,"GRAVE 2",10786,"26-Aug-2023 02:23:04",29,18.90,125,0,65,0,0,0,2:15am,N/A
26-Aug-2023,"DAY 1",10373,"26-Aug-2023 07:01:12",28,18.20,125,0,65,0,0,0,6:20am,N/A
26-Aug-2023,"DAY 2",10373,"26-Aug-2023 11:53:20",28,18.10,125,0,65,0,0,0,10:10am,N/A
26-Aug-2023,"SWG 1",10373,"26-Aug-2023 05:52:59",26,17.90,125,0,65,0,0,0,2:20pm,N/A
26-Aug-2023,"SWG 2",10786,"26-Aug-2023 06:17:22",26,17.80,130,0,65,0,0,0,6:12pm,N/A
26-Aug-2023,"GRAVE 1",10786,"26-Aug-2023 10:49:55",26,17.50,130,0,65,0,0,0,10:15pm,N/A
27-Aug-2023,"GRAVE 2",10786,"27-Aug-2023 02:14:07",26,17.20,130,0,65,0,0,0,2:10am,N/A
27-Aug-2023,"DAY 1",10854,"27-Aug-2023 07:30:10",26,17.00,130,0,65,0,0,0,6:23AM,N/A
27-Aug-2023,"DAY 2",10854,"27-Aug-2023 12:00:00",26,16.80,130,0,65,0,0,0,10:25AM,N/A
27-Aug-2023,"SWG 1",10355,"27-Aug-2023 04:05:49",26,16.80,130,0,65,0,0,0,2:20pm,N/A
27-Aug-2023,"GRAVE 1",10373,"27-Aug-2023 10:41:03",28,16.10,130,0,65,0,0,0,10:15pm,N/A
28-Aug-2023,"GRAVE 2",10373,"28-Aug-2023 04:57:04",28,16,130,0,65,0,0,0,2:15am,N/A
28-Aug-2023,"DAY 1",10854,"28-Aug-2023 07:29:50",26,15.90,130,0,65,0,0,0,6:20AM,N/A
28-Aug-2023,"DAY 2",10854,"28-Aug-2023 11:27:43",28,15.85,130,0,65,0,0,0,10:50AM,N/A
28-Aug-2023,"SWG 1",10854,"28-Aug-2023 03:47:36",30,15.85,130,0,65,0,0,0,2:42PM,N/A
28-Aug-2023,"SWG 2",10303,"28-Aug-2023 06:23:17",32,15.50,130,0,65,0,0,0,"6:05 PM",N/A
28-Aug-2023,"GRAVE 1",10303,"28-Aug-2023 11:22:33",32,15.20,140,0,65,0,0,0,10:15pm,N/A
29-Aug-2023,"GRAVE 2",10303,"29-Aug-2023 02:34:00",26,15,140,0,65,0,0,0,2:15am,N/A
29-Aug-2023,"DAY 1",10854,"29-Aug-2023 06:49:42",26,14.90,140,0,65,0,0,0,6:15AM,N/A
29-Aug-2023,"DAY 2",10355,"29-Aug-2023 11:00:27",28,14.80,140,0,65,0,0,0,10:10am,N/A
29-Aug-2023,"SWG 1",10373,"29-Aug-2023 02:27:42",30,14.70,140,0,65,0,0,0,2:20pm,N/A
29-Aug-2023,"SWG 2",10373,"29-Aug-2023 06:56:12",28,14.20,140,0,65,0,0,0,6:12pm,N/A
29-Aug-2023,"GRAVE 1",10303,"29-Aug-2023 11:09:27",28,14,145,0,65,0,0,0,"10:20 PM",N/A
30-Aug-2023,"GRAVE 2",10303,"30-Aug-2023 02:23:01",28,13.90,145,0,65,0,0,0,2:09am,N/A
30-Aug-2023,"DAY 1",10854,"30-Aug-2023 06:43:48",26,13.80,145,0,65,0,0,0,6:15AM,N/A
30-Aug-2023,"DAY 2",10854,"30-Aug-2023 11:35:07",28,13.70,145,0,65,0,0,0,10:55AM,N/A
30-Aug-2023,"SWG 1",10373,"30-Aug-2023 02:24:25",28,13.50,145,0,65,0,0,0,2:20pm,N/A
30-Aug-2023,"GRAVE 1",10373,"30-Aug-2023 06:54:09",28,13.10,145,0,65,0,0,0,6:12pm,N/A
31-Aug-2023,"GRAVE 2",10303,"31-Aug-2023 02:34:07",26,12.9,150,0,65,0,0,0,2:09am,N/A
31-Aug-2023,"DAY 1",10854,"31-Aug-2023 07:22:05",25,12.50,150,0,65,0,0,0,6:18AM,N/A
31-Aug-2023,"DAY 2",10854,"31-Aug-2023 11:52:50",28,12.20,140,0,65,0,0,0,10:55AM,N/A
31-Aug-2023,"SWG 1",10373,"31-Aug-2023 03:05:36",28,12.20,140,0,65,0,0,0,2:15pm,N/A
31-Aug-2023,"SWG 2",10373,"31-Aug-2023 08:00:28",28,12.10,140,0,65,0,0,0,6:15pm,N/A
31-Aug-2023,"GRAVE 1",10303,"31-Aug-2023 11:19:40",26,12,150,0,65,0,0,0,10:15pm,N/A

N2 (Liquid)
Date, Shift, Tech No., Date/Time Encoded, N2 LEVEL mm of H2O, INVENTORY in Gallons, INVENTORY in m³, PRESSURE in PSI (160 max), % Volume, PPM (30 max), Vaporizer Use No.1 / No.2, TIME, Remarks
1-Aug-2023,"DAY 1",5249,"1-Aug-2023 07:18:52",3800,5381.40,14207.40,140,62,0,1,6:30AM,N/A
1-Aug-2023,"SWG 1",10355,"1-Aug-2023 03:01:12",3700,5233.50,13816.50,145,60,0,1,2:30pm,N/A
1-Aug-2023,"GRAVE 1",10373,"1-Aug-2023 11:52:16",3600,5085.60,13486.10,145,57,0,1,10:30pm,N/A
2-Aug-2023,"GRAVE 2",10373,"2-Aug-2023 02:52:10",3250,4567.90,12059.40,145,53,145,1,2:20pm,N/A
2-Aug-2023,"DAY 1",10303,"2-Aug-2023 06:59:55",3400,4789.80,12645.10,140,56,0,1,6:20am,N/A
2-Aug-2023,"SWG 1",10373,"2-Aug-2023 02:49:28",3250,4567.90,12059.40,145,53,0,1,2:20pm,N/A
2-Aug-2023,"GRAVE 1",10715,"2-Aug-2023 11:26:40",3150,4420,11662.90,140,51,0,1,10:30pm,N/A
3-Aug-2023,"DAY 1",10303,"3-Aug-2023 07:08:48",4500,6416.80,16940.40,150,74,0,1,6:20AM,N/A
3-Aug-2023,"SWG 1",10355,"3-Aug-2023 05:16:35",4450,6342.90,16745.10,140,72,0,1,2:20pm,N/A
3-Aug-2023,"GRAVE 1",10373,"3-Aug-2023 11:14:02",4350,6194.90,16354.70,140,71,0,2,10:20pm,N/A
4-Aug-2023,"DAY 1",10854,"4-Aug-2023 07:56:31",4200,5973.10,15768.10,140,69,0,2,6:15AM,N/A
4-Aug-2023,"SWG 1",10355,"4-Aug-2023 04:28:33",4100,5825.20,15378.50,140,67,0,2,2:20pm,N/A
4-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 01:20:58",4000,5677.30,14988.30,135,65,0,2,10:30pm,N/A
5-Aug-2023,"GRAVE 2",10373,"5-Aug-2023 03:11:56",3800,5455.40,1440230,135,62,0,2,"2:15 PM",N/A
5-Aug-2023,"DAY 1",10373,"5-Aug-2023 07:16:26",3850,5455.40,14402.30,135,64,0,2,6:20am,N/A
5-Aug-2023,"GRAVE 1",10715,"5-Aug-2023 11:28:25",3700,5233.50,13816.50,135,60,0,2,"10:05 PM",N/A
6-Aug-2023,"DAY 1",7611,"6-Aug-2023 02:17:20",3600,5085.60,13426.10,135,59,0,1,"6:20 AM",N/A
6-Aug-2023,"SWG 1",7611,"6-Aug-2023 03:16:24",3550,5011.70,13230.80,140,58,0,1,"2:25 PM",N/A
6-Aug-2023,"GRAVE 1",10715,"7-Aug-2023 05:21:58",3500,4937.70,13035.60,140,58,0,1,10:03pm,N/A
7-Aug-2023,"DAY 1",10786,"7-Aug-2023 08:59:21",4600,6564.70,17330.90,139,76,0,2,6:20am,N/A
7-Aug-2023,"SWG 1",10373,"7-Aug-2023 03:25:52",4450,6342.90,16745.10,139,74,0,1,2:30pm,N/A
7-Aug-2023,"GRAVE 1",10715,"7-Aug-2023 11:51:53",4400,6268.90,16549.90,140,71,0,2,10:30pm,N/A
8-Aug-2023,"DAY 1",10786,"8-Aug-2023 07:36:28",4200,5973.10,15768.90,138,69,0,2,"6:30 AM",N/A
8-Aug-2023,"SWG 1",10373,"8-Aug-2023 03:08:36",4100,8825.20,15378.50,135,67,0,2,"2:15 PM",N/A
8-Aug-2023,"GRAVE 1",10715,"8-Aug-2023 11:55:44",4000,5611.30,14988,140,65,0,2,"10:05 PM",N/A
